feature,importance_mean,importance_std
FP::MACCS_0105,0.004629629629629583,0.0032982839524426295
FP::MACCS_0038,0.004290123456790096,0.005191152503968996
FP::MACCS_0094,0.002746913580246868,0.0016358024691358075
FP::MACCS_0076,0.0026543209876542574,0.003527711620303601
FP::MACCS_0098,0.002283950617283903,0.0015006476273016233
FP::MACCS_0095,0.0021913580246913254,0.006863312070964521
FP::MACCS_0112,0.0019444444444444043,0.0033726815663543044
FP::MACCS_0080,0.0018518518518517934,0.006388217892837158
FP::MACCS_0125,0.0018209876543209714,0.00171539422612224
FP::MACCS_0073,0.0017901234567900826,0.004394870990451238
FP::MACCS_0124,0.001697530864197494,0.0021349905685828915
FP::MACCS_0042,0.0016975308641974719,0.002066979709907811
FP::MACCS_0155,0.0016358024691357277,0.0012502857469462658
FP::MACCS_0087,0.001481481481481428,0.001478907228482829
FP::MACCS_0052,0.0012962962962962843,0.0030265804128719407
FP::MACCS_0100,0.001172839506172818,0.005803454079788236
FP::MACCS_0099,0.001172839506172807,0.00045360921162648717
FP::MACCS_0057,0.0008950617283950523,0.0005765907929712644
FP::MACCS_0104,0.0008641975308641747,0.002027662679710686
FP::MACCS_0126,0.0008641975308641636,0.0040754767506774965
FP::MACCS_0147,0.0008641975308641636,0.0021902709875568143
FP::MACCS_0134,0.0007716049382715973,0.0006510809601768282
FP::MACCS_0153,0.0007716049382715861,0.0010890295533565947
FP::MACCS_0133,0.0007407407407407418,0.00331326837044929
FP::MACCS_0077,0.0007407407407406974,0.002886091290755774
FP::MACCS_0082,0.0007407407407406863,0.002152542688168225
FP::MACCS_0136,0.0007098765432098419,0.002259841050368578
FP::MACCS_0089,0.0006481481481481089,0.0015764929369286394
FP::MACCS_0054,0.0005555555555554981,0.0010493827160493853
FP::MACCS_0159,0.0004629629629629206,0.0009181774555952948
