iter	Logloss
0	0.640031937
1	0.5963302159
2	0.5595221104
3	0.5352678137
4	0.507127196
5	0.4942477752
6	0.4766030594
7	0.459882083
8	0.4452328512
9	0.4338749364
10	0.4272513497
11	0.414039103
12	0.4018081829
13	0.3949998405
14	0.3903677496
15	0.3821048364
16	0.3754717638
17	0.3712927241
18	0.3673853549
19	0.3623883537
20	0.3563751949
21	0.3491703996
22	0.346099069
23	0.3432429808
24	0.3400809829
25	0.336489681
26	0.333173696
27	0.3307483199
28	0.3285130198
29	0.3277228836
30	0.3240790391
31	0.3214595841
32	0.3206528931
33	0.3171784371
34	0.314157933
35	0.312438546
36	0.31019635
37	0.3093707945
38	0.3057808809
39	0.3034518155
40	0.3028096752
41	0.3008324436
42	0.2988196982
43	0.2966561357
44	0.2945521268
45	0.2920673523
46	0.2904516453
47	0.2887086983
48	0.2861072409
49	0.2847711363
50	0.2839573572
51	0.2803031785
52	0.2798869096
53	0.2791190849
54	0.2779227798
55	0.2766068142
56	0.2746230876
57	0.2726076724
58	0.2718437757
59	0.2711734536
60	0.2679988504
61	0.2645976331
62	0.2639008506
63	0.2633730383
64	0.2595097472
65	0.2590474334
66	0.2576247165
67	0.2551850898
68	0.2525411214
69	0.2497833687
70	0.2492530787
71	0.2487112321
72	0.248179987
73	0.2477067826
74	0.2454678543
75	0.2450820863
76	0.2446549945
77	0.2423911776
78	0.2419298171
79	0.2414210486
80	0.2390468231
81	0.2374016493
82	0.236446751
83	0.2353816598
84	0.2315571053
85	0.2275213985
86	0.2269163381
87	0.2255570303
88	0.2237791654
89	0.2208914042
90	0.2192240679
91	0.2164710647
92	0.2160807822
93	0.2137516335
94	0.2133823793
95	0.2130212629
96	0.2122857504
97	0.2119661905
98	0.2100461811
99	0.2073766607
100	0.2070663797
101	0.2063210869
102	0.2034805209
103	0.2010960659
104	0.1985818826
105	0.1963054731
106	0.1960106962
107	0.1957515583
108	0.1945147764
109	0.1935295597
110	0.1921421714
111	0.1904535057
112	0.1891488832
113	0.1872291155
114	0.1863881188
115	0.1861284838
116	0.1858723034
117	0.1841171111
118	0.1832882602
119	0.1812617872
120	0.1793650564
121	0.1771222827
122	0.1767246959
123	0.1764031028
124	0.1742636836
125	0.1734070622
126	0.1714405179
127	0.1697157343
128	0.1682557507
129	0.1660588368
130	0.1645846111
131	0.1642928554
132	0.1630560985
133	0.1613788888
134	0.1610569967
135	0.1598280911
136	0.1596245952
137	0.1579384111
138	0.156151925
139	0.1553156447
140	0.154562243
141	0.1536980363
142	0.1519177658
143	0.1517294405
144	0.1507639854
145	0.1496692984
146	0.1494006936
147	0.1486263787
148	0.1469997556
149	0.1459549499
150	0.1457787878
151	0.144772737
152	0.1446169986
153	0.1430891831
154	0.1425815395
155	0.1421832084
156	0.1407979878
157	0.1401090837
158	0.1399446905
159	0.1397316853
160	0.1395328205
161	0.1386507362
162	0.1384990512
163	0.1377137317
164	0.136281315
165	0.1361560227
166	0.1344971226
167	0.1340574049
168	0.1332109522
169	0.1326349436
170	0.1314527498
171	0.1306008185
172	0.1304641596
173	0.1303310624
174	0.1289456666
175	0.1287759986
176	0.1279568986
177	0.1275556772
178	0.1263128667
179	0.1257826724
180	0.1247426997
181	0.1233599352
182	0.1223198044
183	0.1214502895
184	0.1209658357
185	0.1202288035
186	0.1197864151
187	0.1196692513
188	0.1191999345
189	0.1190369663
190	0.1180874956
191	0.1170414871
192	0.1160647539
193	0.1154422804
194	0.1153233089
195	0.1151752278
196	0.115064192
197	0.1149674419
198	0.1143309113
199	0.1131596034
200	0.1127957868
