feature,importance_mean,importance_std
FP::ECFP2048_1855,0.01919753086419753,0.007316572690792013
FP::ECFP2048_1097,0.012037037037037058,0.013039895169307154
FP::ECFP2048_1312,0.005493827160493858,0.00391817310433537
FP::ECFP2048_0523,0.004753086419753094,0.002423183509430917
FP::ECFP2048_0879,0.004320987654321018,0.0015616185976140109
FP::ECFP2048_1928,0.004012345679012363,0.001441063892583783
FP::ECFP2048_0273,0.003827160493827186,0.002239303351508277
FP::ECFP2048_1388,0.0036419753086419314,0.0011196516757541151
FP::ECFP2048_0357,0.0034567901234567877,0.0006873783163987648
FP::ECFP2048_0878,0.0034567901234567543,0.0010029677042760268
FP::ECFP2048_0519,0.0030864197530864447,0.0008729713347981794
FP::ECFP2048_0045,0.002901234567901245,0.00087515104189863
FP::ECFP2048_1745,0.002592592592592602,0.004851082149231735
FP::ECFP2048_0281,0.002345679012345725,0.002371527495345532
FP::ECFP2048_0859,0.00222222222222227,0.0008373246892746951
FP::ECFP2048_1693,0.002222222222222203,0.0007407407407407344
FP::ECFP2048_0809,0.002098765432098726,0.000493827160493826
FP::ECFP2048_1019,0.0020370370370371036,0.0012048902034532945
FP::ECFP2048_1959,0.0019753086419753486,0.0013181578088927303
FP::ECFP2048_0378,0.0019753086419753486,0.0012590171638500413
FP::ECFP2048_1536,0.0019135802469136044,0.003340755340181429
FP::ECFP2048_0841,0.001913580246913593,0.0025518551368635123
FP::ECFP2048_0650,0.0018518518518517934,0.0008729713347982421
FP::ECFP2048_0802,0.001666666666666683,0.0007832455271882143
FP::ECFP2048_0672,0.0016666666666665941,0.0006203626926617932
FP::ECFP2048_1942,0.001604938271604983,0.001002967704276013
FP::ECFP2048_0926,0.001481481481481506,0.000740740740740716
FP::ECFP2048_2044,0.001296296296296262,0.0006444633647475524
FP::ECFP2048_0092,0.001172839506172907,0.00064446336474758
FP::ECFP2048_1385,0.0011728395061728404,0.0009341201203964065
