sim,∆p,SALI,is_cliff
0.14444444444444443,0.18695633546541224,0.21852013668928308,False
0.15217391304347827,0.26292546933183125,0.3101168544586906,False
0.15217391304347827,0.30877777366472126,0.36419899578008647,False
0.09782608695652174,1.1857524042680794,1.3143265093328245,False
0.10784313725490197,0.41251353458903584,0.4623772897318473,False
0.09090909090909091,0.05680236993107357,0.06248253819338891,False
0.14893617021276595,0.30102999566398125,0.35370982929612854,False
0.14130434782608695,0.30102999566398125,0.3505661689746674,False
0.20930232558139536,0.30102999566398125,0.3807139247897773,False
0.12222222222222222,0.0,0.0,False
0.12359550561797752,0.11727129565576444,0.1338094026195667,False
0.14583333333333334,0.0,0.0,False
0.12087912087912088,0.022276394711152392,0.02533937016040229,False
0.13829787234042554,0.30102999566398125,0.3493430463477516,False
0.13978494623655913,0.30102999566398125,0.3499469631460335,False
0.13402061855670103,0.30102999566398125,0.3476175697678799,False
0.13829787234042554,0.30102999566398125,0.3493430463477516,False
0.1326530612244898,0.30102999566398125,0.34706947720307524,False
0.12941176470588237,0.5430269863641817,0.6237464976013939,False
0.8,0.0,0.0,False
0.2857142857142857,2.045757490560675,2.8640564771058767,False
0.14,3.0,3.4883680367813525,False
0.13043478260869565,0.30102999566398125,0.346184096901867,False
0.2235294117647059,0.602059991327963,0.7753792932672261,False
0.15294117647058825,0.602059991327963,0.7107644284430615,False
0.26605504587155965,1.5559552040819238,2.1199860770805907,False
0.26851851851851855,2.154901959985743,2.945937892622378,False
0.26126126126126126,1.6989700043360187,2.29982213659806,False
0.27102803738317754,1.5171264163912461,2.0811833829133506,False
0.29411764705882354,0.727668636906944,1.030862441896378,False
0.29069767441860467,0.651681485862555,0.9187627667308491,False
0.14285714285714285,0.30102999566398125,0.35120125187318424,False
0.14285714285714285,0.30102999566398125,0.35120125187318424,False
0.3835616438356164,0.7456936676687143,1.209678876294626,False
0.2268041237113402,0.286677495012972,0.3707690806887661,False
0.19148936170212766,0.29550630299070146,0.3654941858509535,False
0.18,0.0,0.0,False
0.21212121212121213,0.0,0.0,False
0.18947368421052632,0.10646015643533868,0.13134678420016463,False
0.1782178217821782,0.16838614469090096,0.2049033725125346,False
0.21,0.3144373888417702,0.39802150736742126,False
0.1875,0.1808510571928661,0.22258564259350583,False
0.18,0.13727247168202528,0.16740524911801968,False
0.16666666666666666,0.72399801003795,0.8687965694896564,False
0.1320754716981132,0.1352516643703412,0.15583325983620241,False
0.15841584158415842,0.10557316203581202,0.12544560818365397,False
0.13333333333333333,0.1717268879479299,0.19814618054048,False
0.16346153846153846,0.01682492796218682,0.02011253352142463,False
0.16,0.1109225073499358,0.13205044678510597,False
0.1523809523809524,0.0,0.0,False
0.18269230769230768,0.46980030179691745,0.5748137836028931,False
0.17,0.28366271211045113,0.3417618919862158,False
0.14285714285714285,2.154901959985743,2.514049353592454,False
0.43478260869565216,0.12389767862220591,0.21920319743363034,False
0.14457831325301204,0.30102999566398125,0.3519078934050041,False
0.4142857142857143,0.34563090902471405,0.5901005445046797,False
0.6885245901639344,2.236572006437062,7.180550230478776,False
0.1595744680851064,0.30102999566398125,0.35818716358001085,False
0.22988505747126436,0.30102999566398125,0.39088918828965646,False
0.13725490196078433,0.5316526695878432,0.6162330618430419,False
0.21,1.7399286120149249,2.2024384931347236,False
0.2079207920792079,1.7077439286435236,2.156023987932164,False
0.20388349514563106,1.2321023839819096,1.5476388554065192,False
0.25,1.7544873321858505,2.3393133238300354,False
0.18095238095238095,2.71669877129645,3.3168956129312543,False
0.2,1.730487055782084,2.16310611584496,False
0.20833333333333334,1.8728952016351919,2.365759371632615,False
0.19318181818181818,1.1463017882238251,1.4207666526229743,False
0.2,0.9905491042013059,1.2381848325205917,False
0.19318181818181818,0.22184874961635614,0.274967123508908,False
0.2235294117647059,0.14266750356873104,0.1837382149332404,False
0.18181818181818182,0.6903698325741008,0.8437843196319548,False
0.1744186046511628,0.6345120151091006,0.7685629183517136,False
0.18604651162790697,0.36855623098682777,0.4527970989188097,False
0.20481927710843373,0.59176003468815,0.7441821380605907,False
0.19540229885057472,0.5346171485515816,0.6644519159524416,False
0.19148936170212766,1.9746941347352296,2.4423818300160467,False
0.19791666666666666,0.9854794612420763,1.2286481860910838,False
0.1485148514851485,1.4685210829577446,1.7246564556794208,False
0.21,0.5376020021010435,0.6805080020165081,False
0.20588235294117646,1.8794260687941504,2.36668169895642,False
0.20202020202020202,2.585026652029182,3.239459719549073,False
0.19540229885057472,1.434152181326482,1.7824440671824298,False
0.3333333333333333,0.5384603549184148,0.8076893208436409,False
0.21238938053097345,1.5376020021010435,1.952233771179795,False
0.21428571428571427,1.779891911959945,2.265314095731081,False
0.26605504587155965,1.7121982700697735,2.332866964438827,False
0.2543859649122807,2.1191864077192086,2.842199134932805,False
0.27358490566037735,1.950781977329818,2.6854883757817256,False
0.27102803738317754,1.991399828238082,2.7317883246169745,False
0.2608695652173913,0.3979400086720375,0.5383886950892279,False
0.2636363636363636,1.4134126953282449,1.919446732678597,False
0.25663716814159293,1.3223930472795065,1.7789311109924841,False
0.25925925925925924,1.860120913598763,2.5111598432925417,False
0.25688073394495414,0.9136401693252516,1.229464746232038,False
0.25688073394495414,0.8728952016351927,1.1746351721358301,False
0.25,0.9586073148417746,1.2781413822671899,False
0.26851851851851855,1.008773924307505,1.379081454233082,False
0.24786324786324787,0.9136401693252516,1.2147245191850646,False
0.2543859649122807,1.0362121726544444,1.3897415206126271,False
0.26126126126126126,0.9208187539523749,1.2464724796374191,False
0.25217391304347825,0.8728952016351927,1.1672420227350528,False
0.2543859649122807,1.8477116556169433,2.478104073370202,False
0.2636363636363636,1.886056647693163,2.5613080185477273,False
0.25892857142857145,1.3767507096020992,1.8577815831794913,False
