model,backbone,ACC,AUPRC_active,AUPRC_cliff,AUROC,Brier,Cliff_Brier,Cliff_ECE,Cliff_F1,Cliff_NodeShare,Cliff_RMSE,Delta_RMSE,ECE,F1,MCC,RMSE,Threshold
ExtraTrees,ecfp2048,"0.791 (95% CI, 0.763-0.820)","0.820 (95% CI, 0.773-0.863)","0.793 (95% CI, 0.655-0.905)","0.874 (95% CI, 0.835-0.911)","0.155 (95% CI, 0.150-0.161)","0.211 (95% CI, 0.153-0.254)","0.215 (95% CI, 0.140-0.303)","0.631 (95% CI, 0.442-0.796)","0.146 (95% CI, 0.090-0.210)","0.440 (95% CI, 0.344-0.503)","0.046 (95% CI, -0.047-0.108)","0.182 (95% CI, 0.163-0.200)","0.658 (95% CI, 0.600-0.711)","0.539 (95% CI, 0.478-0.604)","0.394 (95% CI, 0.387-0.401)","0.448 (95% CI, 0.426-0.469)"
GB,ecfp2048,"0.813 (95% CI, 0.764-0.853)","0.852 (95% CI, 0.802-0.896)","0.772 (95% CI, 0.622-0.900)","0.918 (95% CI, 0.883-0.946)","0.106 (95% CI, 0.090-0.124)","0.209 (95% CI, 0.123-0.289)","0.305 (95% CI, 0.210-0.388)","0.690 (95% CI, 0.534-0.832)","0.146 (95% CI, 0.090-0.210)","0.415 (95% CI, 0.281-0.531)","0.092 (95% CI, -0.031-0.199)","0.235 (95% CI, 0.213-0.252)","0.713 (95% CI, 0.660-0.768)","0.606 (95% CI, 0.541-0.676)","0.323 (95% CI, 0.297-0.350)","0.398 (95% CI, 0.267-0.544)"
XGB,ecfp2048,"0.853 (95% CI, 0.828-0.879)","0.845 (95% CI, 0.797-0.894)","0.774 (95% CI, 0.633-0.900)","0.902 (95% CI, 0.865-0.935)","0.106 (95% CI, 0.086-0.126)","0.206 (95% CI, 0.125-0.282)","0.266 (95% CI, 0.199-0.325)","0.699 (95% CI, 0.546-0.842)","0.146 (95% CI, 0.090-0.210)","0.417 (95% CI, 0.294-0.524)","0.097 (95% CI, -0.007-0.187)","0.224 (95% CI, 0.196-0.249)","0.751 (95% CI, 0.697-0.800)","0.664 (95% CI, 0.599-0.728)","0.321 (95% CI, 0.289-0.352)","0.483 (95% CI, 0.374-0.598)"
CatBoost,ecfp2048,"0.823 (95% CI, 0.780-0.859)","0.805 (95% CI, 0.737-0.862)","0.735 (95% CI, 0.590-0.861)","0.882 (95% CI, 0.836-0.920)","0.130 (95% CI, 0.106-0.157)","0.235 (95% CI, 0.141-0.321)","0.312 (95% CI, 0.202-0.415)","0.685 (95% CI, 0.539-0.822)","0.146 (95% CI, 0.090-0.210)","0.430 (95% CI, 0.275-0.563)","0.075 (95% CI, -0.062-0.195)","0.318 (95% CI, 0.281-0.356)","0.713 (95% CI, 0.639-0.778)","0.604 (95% CI, 0.507-0.687)","0.356 (95% CI, 0.321-0.392)","0.448 (95% CI, 0.256-0.652)"
BRF,ecfp2048,"0.787 (95% CI, 0.756-0.813)","0.819 (95% CI, 0.772-0.859)","0.793 (95% CI, 0.652-0.906)","0.872 (95% CI, 0.836-0.906)","0.159 (95% CI, 0.154-0.164)","0.213 (95% CI, 0.154-0.257)","0.232 (95% CI, 0.138-0.335)","0.524 (95% CI, 0.317-0.724)","0.146 (95% CI, 0.090-0.210)","0.441 (95% CI, 0.344-0.506)","0.043 (95% CI, -0.053-0.106)","0.193 (95% CI, 0.171-0.215)","0.642 (95% CI, 0.586-0.694)","0.534 (95% CI, 0.481-0.587)","0.398 (95% CI, 0.392-0.405)","0.457 (95% CI, 0.430-0.487)"
LogReg,maccs,"0.825 (95% CI, 0.807-0.842)","0.812 (95% CI, 0.763-0.854)","0.790 (95% CI, 0.647-0.895)","0.886 (95% CI, 0.848-0.915)","0.126 (95% CI, 0.112-0.142)","0.209 (95% CI, 0.128-0.284)","0.249 (95% CI, 0.167-0.332)","0.668 (95% CI, 0.509-0.816)","0.146 (95% CI, 0.090-0.210)","0.411 (95% CI, 0.272-0.530)","0.059 (95% CI, -0.068-0.169)","0.198 (95% CI, 0.181-0.216)","0.702 (95% CI, 0.642-0.754)","0.600 (95% CI, 0.545-0.651)","0.353 (95% CI, 0.333-0.375)","0.591 (95% CI, 0.484-0.704)"
KNN,maccs,"0.810 (95% CI, 0.773-0.840)","0.804 (95% CI, 0.767-0.840)","0.705 (95% CI, 0.559-0.843)","0.887 (95% CI, 0.857-0.914)","0.124 (95% CI, 0.116-0.134)","0.260 (95% CI, 0.180-0.328)","0.376 (95% CI, 0.280-0.458)","0.529 (95% CI, 0.292-0.753)","0.146 (95% CI, 0.090-0.210)","0.483 (95% CI, 0.364-0.571)","0.133 (95% CI, 0.013-0.216)","0.189 (95% CI, 0.173-0.205)","0.663 (95% CI, 0.599-0.727)","0.569 (95% CI, 0.485-0.640)","0.352 (95% CI, 0.340-0.365)","0.379 (95% CI, 0.325-0.434)"
SVC,maccs,"0.835 (95% CI, 0.807-0.861)","0.827 (95% CI, 0.774-0.867)","0.735 (95% CI, 0.611-0.845)","0.900 (95% CI, 0.868-0.927)","0.113 (95% CI, 0.101-0.126)","0.220 (95% CI, 0.153-0.281)","0.302 (95% CI, 0.247-0.352)","0.653 (95% CI, 0.508-0.792)","0.146 (95% CI, 0.090-0.210)","0.450 (95% CI, 0.356-0.529)","0.116 (95% CI, 0.032-0.185)","0.233 (95% CI, 0.198-0.266)","0.737 (95% CI, 0.697-0.774)","0.632 (95% CI, 0.571-0.686)","0.335 (95% CI, 0.318-0.354)","0.433 (95% CI, 0.347-0.520)"
RF,maccs,"0.802 (95% CI, 0.770-0.829)","0.826 (95% CI, 0.782-0.862)","0.752 (95% CI, 0.601-0.880)","0.880 (95% CI, 0.852-0.907)","0.147 (95% CI, 0.141-0.153)","0.203 (95% CI, 0.145-0.246)","0.226 (95% CI, 0.157-0.305)","0.560 (95% CI, 0.326-0.774)","0.146 (95% CI, 0.090-0.210)","0.430 (95% CI, 0.330-0.495)","0.047 (95% CI, -0.051-0.109)","0.195 (95% CI, 0.182-0.207)","0.656 (95% CI, 0.591-0.713)","0.557 (95% CI, 0.503-0.606)","0.383 (95% CI, 0.376-0.391)","0.499 (95% CI, 0.454-0.540)"
ExtraTrees,maccs,"0.804 (95% CI, 0.774-0.830)","0.833 (95% CI, 0.791-0.872)","0.787 (95% CI, 0.631-0.910)","0.882 (95% CI, 0.852-0.912)","0.142 (95% CI, 0.136-0.150)","0.195 (95% CI, 0.137-0.243)","0.172 (95% CI, 0.120-0.233)","0.625 (95% CI, 0.423-0.787)","0.146 (95% CI, 0.090-0.210)","0.417 (95% CI, 0.315-0.491)","0.041 (95% CI, -0.059-0.109)","0.167 (95% CI, 0.151-0.183)","0.666 (95% CI, 0.615-0.706)","0.569 (95% CI, 0.514-0.617)","0.377 (95% CI, 0.368-0.387)","0.520 (95% CI, 0.463-0.575)"
GB,maccs,"0.812 (95% CI, 0.786-0.837)","0.867 (95% CI, 0.823-0.906)","0.790 (95% CI, 0.646-0.903)","0.913 (95% CI, 0.876-0.942)","0.106 (95% CI, 0.087-0.125)","0.217 (95% CI, 0.133-0.294)","0.242 (95% CI, 0.156-0.327)","0.687 (95% CI, 0.516-0.829)","0.146 (95% CI, 0.090-0.210)","0.421 (95% CI, 0.282-0.540)","0.103 (95% CI, -0.024-0.208)","0.213 (95% CI, 0.194-0.233)","0.714 (95% CI, 0.672-0.748)","0.619 (95% CI, 0.580-0.657)","0.322 (95% CI, 0.292-0.351)","0.412 (95% CI, 0.218-0.605)"
XGB,maccs,"0.825 (95% CI, 0.804-0.843)","0.855 (95% CI, 0.813-0.894)","0.739 (95% CI, 0.601-0.855)","0.904 (95% CI, 0.866-0.935)","0.106 (95% CI, 0.090-0.123)","0.213 (95% CI, 0.133-0.287)","0.257 (95% CI, 0.185-0.329)","0.560 (95% CI, 0.362-0.731)","0.146 (95% CI, 0.090-0.210)","0.425 (95% CI, 0.299-0.532)","0.106 (95% CI, -0.012-0.205)","0.211 (95% CI, 0.200-0.221)","0.688 (95% CI, 0.615-0.744)","0.607 (95% CI, 0.556-0.650)","0.323 (95% CI, 0.297-0.349)","0.521 (95% CI, 0.365-0.669)"
CatBoost,maccs,"0.829 (95% CI, 0.805-0.850)","0.839 (95% CI, 0.797-0.874)","0.752 (95% CI, 0.598-0.877)","0.896 (95% CI, 0.859-0.925)","0.125 (95% CI, 0.105-0.147)","0.237 (95% CI, 0.142-0.326)","0.274 (95% CI, 0.173-0.376)","0.693 (95% CI, 0.538-0.827)","0.146 (95% CI, 0.090-0.210)","0.436 (95% CI, 0.286-0.565)","0.087 (95% CI, -0.064-0.211)","0.253 (95% CI, 0.216-0.290)","0.727 (95% CI, 0.676-0.771)","0.621 (95% CI, 0.555-0.674)","0.351 (95% CI, 0.322-0.380)","0.409 (95% CI, 0.259-0.581)"
BRF,maccs,"0.802 (95% CI, 0.776-0.824)","0.831 (95% CI, 0.792-0.866)","0.776 (95% CI, 0.625-0.900)","0.880 (95% CI, 0.852-0.907)","0.148 (95% CI, 0.144-0.154)","0.195 (95% CI, 0.139-0.238)","0.218 (95% CI, 0.158-0.287)","0.604 (95% CI, 0.402-0.779)","0.146 (95% CI, 0.090-0.210)","0.421 (95% CI, 0.324-0.487)","0.036 (95% CI, -0.059-0.098)","0.184 (95% CI, 0.163-0.204)","0.665 (95% CI, 0.632-0.700)","0.554 (95% CI, 0.514-0.595)","0.385 (95% CI, 0.379-0.392)","0.511 (95% CI, 0.464-0.558)"
LogReg,descriptors,"0.812 (95% CI, 0.783-0.841)","0.863 (95% CI, 0.824-0.893)","0.803 (95% CI, 0.695-0.897)","0.912 (95% CI, 0.882-0.935)","0.113 (95% CI, 0.099-0.130)","0.210 (95% CI, 0.126-0.288)","0.268 (95% CI, 0.163-0.364)","0.677 (95% CI, 0.510-0.822)","0.146 (95% CI, 0.090-0.210)","0.403 (95% CI, 0.248-0.534)","0.063 (95% CI, -0.079-0.182)","0.226 (95% CI, 0.204-0.245)","0.691 (95% CI, 0.623-0.751)","0.598 (95% CI, 0.548-0.654)","0.335 (95% CI, 0.314-0.358)","0.582 (95% CI, 0.424-0.733)"
KNN,descriptors,"0.782 (95% CI, 0.735-0.826)","0.813 (95% CI, 0.766-0.855)","0.749 (95% CI, 0.599-0.874)","0.893 (95% CI, 0.860-0.922)","0.123 (95% CI, 0.110-0.136)","0.199 (95% CI, 0.126-0.263)","0.298 (95% CI, 0.203-0.381)","0.714 (95% CI, 0.573-0.843)","0.146 (95% CI, 0.090-0.210)","0.410 (95% CI, 0.283-0.510)","0.063 (95% CI, -0.059-0.155)","0.177 (95% CI, 0.157-0.197)","0.722 (95% CI, 0.674-0.769)","0.574 (95% CI, 0.497-0.647)","0.349 (95% CI, 0.330-0.368)","0.201 (95% CI, 0.154-0.255)"
SVC,descriptors,"0.823 (95% CI, 0.789-0.855)","0.851 (95% CI, 0.810-0.887)","0.727 (95% CI, 0.589-0.850)","0.905 (95% CI, 0.868-0.932)","0.110 (95% CI, 0.096-0.126)","0.208 (95% CI, 0.137-0.272)","0.316 (95% CI, 0.250-0.384)","0.657 (95% CI, 0.528-0.771)","0.146 (95% CI, 0.090-0.210)","0.432 (95% CI, 0.334-0.519)","0.102 (95% CI, 0.011-0.180)","0.179 (95% CI, 0.160-0.196)","0.707 (95% CI, 0.629-0.768)","0.611 (95% CI, 0.544-0.672)","0.330 (95% CI, 0.308-0.353)","0.493 (95% CI, 0.375-0.612)"
RF,descriptors,"0.798 (95% CI, 0.760-0.834)","0.831 (95% CI, 0.778-0.876)","0.733 (95% CI, 0.592-0.859)","0.890 (95% CI, 0.849-0.922)","0.123 (95% CI, 0.110-0.140)","0.212 (95% CI, 0.139-0.277)","0.275 (95% CI, 0.201-0.342)","0.680 (95% CI, 0.531-0.816)","0.146 (95% CI, 0.090-0.210)","0.428 (95% CI, 0.305-0.525)","0.076 (95% CI, -0.035-0.161)","0.170 (95% CI, 0.147-0.196)","0.691 (95% CI, 0.649-0.724)","0.572 (95% CI, 0.497-0.633)","0.349 (95% CI, 0.331-0.372)","0.494 (95% CI, 0.396-0.579)"
ExtraTrees,descriptors,"0.811 (95% CI, 0.780-0.838)","0.833 (95% CI, 0.783-0.872)","0.761 (95% CI, 0.624-0.872)","0.889 (95% CI, 0.852-0.918)","0.139 (95% CI, 0.131-0.151)","0.203 (95% CI, 0.143-0.249)","0.259 (95% CI, 0.203-0.300)","0.667 (95% CI, 0.511-0.816)","0.146 (95% CI, 0.090-0.210)","0.429 (95% CI, 0.331-0.499)","0.054 (95% CI, -0.040-0.118)","0.178 (95% CI, 0.166-0.189)","0.673 (95% CI, 0.614-0.722)","0.566 (95% CI, 0.479-0.633)","0.373 (95% CI, 0.362-0.387)","0.537 (95% CI, 0.503-0.567)"
GB,descriptors,"0.780 (95% CI, 0.735-0.817)","0.855 (95% CI, 0.806-0.896)","0.763 (95% CI, 0.627-0.875)","0.908 (95% CI, 0.869-0.938)","0.120 (95% CI, 0.100-0.141)","0.231 (95% CI, 0.139-0.314)","0.270 (95% CI, 0.166-0.366)","0.638 (95% CI, 0.490-0.786)","0.146 (95% CI, 0.090-0.210)","0.423 (95% CI, 0.267-0.555)","0.077 (95% CI, -0.066-0.200)","0.272 (95% CI, 0.246-0.299)","0.672 (95% CI, 0.622-0.715)","0.552 (95% CI, 0.495-0.605)","0.344 (95% CI, 0.313-0.373)","0.401 (95% CI, 0.184-0.627)"
XGB,descriptors,"0.822 (95% CI, 0.787-0.854)","0.839 (95% CI, 0.790-0.882)","0.743 (95% CI, 0.622-0.854)","0.904 (95% CI, 0.864-0.933)","0.118 (95% CI, 0.100-0.138)","0.221 (95% CI, 0.137-0.296)","0.276 (95% CI, 0.188-0.358)","0.654 (95% CI, 0.524-0.789)","0.146 (95% CI, 0.090-0.210)","0.426 (95% CI, 0.291-0.542)","0.086 (95% CI, -0.044-0.194)","0.236 (95% CI, 0.207-0.262)","0.708 (95% CI, 0.654-0.758)","0.602 (95% CI, 0.523-0.669)","0.341 (95% CI, 0.314-0.369)","0.481 (95% CI, 0.366-0.609)"
CatBoost,descriptors,"0.816 (95% CI, 0.779-0.852)","0.852 (95% CI, 0.807-0.897)","0.782 (95% CI, 0.654-0.895)","0.906 (95% CI, 0.869-0.938)","0.126 (95% CI, 0.101-0.149)","0.234 (95% CI, 0.144-0.319)","0.298 (95% CI, 0.181-0.399)","0.667 (95% CI, 0.536-0.806)","0.146 (95% CI, 0.090-0.210)","0.424 (95% CI, 0.260-0.562)","0.074 (95% CI, -0.070-0.195)","0.292 (95% CI, 0.272-0.316)","0.716 (95% CI, 0.663-0.771)","0.604 (95% CI, 0.535-0.678)","0.350 (95% CI, 0.311-0.385)","0.422 (95% CI, 0.216-0.642)"
BRF,descriptors,"0.785 (95% CI, 0.756-0.816)","0.832 (95% CI, 0.784-0.874)","0.734 (95% CI, 0.605-0.855)","0.890 (95% CI, 0.855-0.920)","0.125 (95% CI, 0.112-0.140)","0.211 (95% CI, 0.137-0.276)","0.283 (95% CI, 0.203-0.350)","0.674 (95% CI, 0.536-0.812)","0.146 (95% CI, 0.090-0.210)","0.424 (95% CI, 0.298-0.524)","0.070 (95% CI, -0.046-0.159)","0.156 (95% CI, 0.132-0.183)","0.676 (95% CI, 0.640-0.707)","0.547 (95% CI, 0.490-0.600)","0.352 (95% CI, 0.334-0.372)","0.476 (95% CI, 0.370-0.580)"
