AUROC,AUPRC_active,F1,MCC,ACC,Brier,ECE,RMSE,Cliff_Brier,Cliff_ECE,Cliff_RMSE,Cliff_F1,Delta_RMSE,AUPRC_cliff,Cliff_NodeShare,model,backbone,Threshold,Calibration,repeat,n_train,n_test,n_cliff_pairs
0.792,0.713,0.474,0.418,0.770,0.174,0.238,0.418,0.343,0.357,0.586,0.154,0.168,0.398,0.356,LogReg,ecfp1024,0.900,none,0,269,87,28
0.919,0.860,0.737,0.628,0.844,0.107,0.253,0.328,0.003,0.043,0.052,1.000,-0.276,1.000,0.031,LogReg,ecfp1024,0.540,none,1,292,64,1
0.981,0.966,0.829,0.767,0.896,0.061,0.149,0.246,0.001,0.027,0.030,1.000,-0.216,1.000,0.075,LogReg,ecfp1024,0.750,none,2,289,67,4
0.922,0.863,0.780,0.708,0.878,0.103,0.276,0.320,0.315,0.360,0.561,0.400,0.241,0.776,0.189,LogReg,ecfp1024,0.480,none,3,282,74,13
0.925,0.878,0.667,0.606,0.833,0.101,0.275,0.318,0.284,0.387,0.533,0.667,0.216,0.917,0.076,LogReg,ecfp1024,0.950,none,4,290,66,3
0.934,0.898,0.800,0.699,0.865,0.104,0.224,0.322,0.296,0.475,0.544,0.400,0.222,0.680,0.189,LogReg,ecfp1024,0.540,none,5,282,74,11
0.924,0.886,0.735,0.587,0.794,0.096,0.247,0.310,,,,,,,0.000,LogReg,ecfp1024,0.170,none,6,293,63,0
0.905,0.853,0.744,0.629,0.841,0.122,0.255,0.349,0.122,0.199,0.349,0.667,-0.000,0.893,0.130,LogReg,ecfp1024,0.620,none,7,287,69,6
0.958,0.919,0.877,0.811,0.907,0.080,0.175,0.284,0.210,0.318,0.459,0.846,0.175,0.888,0.200,LogReg,ecfp1024,0.370,none,8,281,75,14
0.870,0.767,0.724,0.570,0.787,0.136,0.213,0.369,0.325,0.446,0.570,0.636,0.201,0.637,0.213,LogReg,ecfp1024,0.380,none,9,281,75,14
0.786,0.681,0.513,0.452,0.782,0.155,0.158,0.394,0.255,0.297,0.505,0.000,0.111,0.334,0.356,KNN,ecfp1024,0.540,none,0,269,87,28
0.895,0.810,0.718,0.595,0.828,0.116,0.129,0.340,0.000,0.000,0.000,1.000,-0.340,1.000,0.031,KNN,ecfp1024,0.410,none,1,292,64,1
0.908,0.831,0.778,0.653,0.821,0.125,0.138,0.353,0.396,0.600,0.629,1.000,0.276,1.000,0.075,KNN,ecfp1024,0.270,none,2,289,67,4
0.885,0.796,0.732,0.640,0.851,0.120,0.150,0.347,0.322,0.333,0.567,0.400,0.220,0.583,0.189,KNN,ecfp1024,0.470,none,3,282,74,13
0.944,0.886,0.677,0.533,0.697,0.100,0.157,0.316,0.273,0.378,0.522,0.750,0.206,0.694,0.076,KNN,ecfp1024,0.140,none,4,290,66,3
