AUROC,AUPRC_active,F1,MCC,ACC,Brier,ECE,RMSE,Cliff_Brier,Cliff_ECE,Cliff_RMSE,Cliff_F1,Delta_RMSE,AUPRC_cliff,Cliff_NodeShare,model,backbone,Threshold,Calibration,repeat,n_train,n_test,n_cliff_pairs
0.891,0.830,0.656,0.465,0.703,0.117,0.177,0.342,0.267,0.360,0.517,0.462,0.175,0.495,0.189,KNN,ecfp1024,0.140,none,5,282,74,11
0.869,0.819,0.698,0.542,0.794,0.124,0.130,0.352,,,,,,,0.000,KNN,ecfp1024,0.210,none,6,293,63,0
0.925,0.866,0.724,0.593,0.768,0.099,0.153,0.315,0.121,0.207,0.348,0.889,0.033,0.887,0.130,KNN,ecfp1024,0.210,none,7,287,69,6
0.953,0.903,0.556,0.538,0.787,0.115,0.204,0.340,0.324,0.389,0.569,0.000,0.229,0.838,0.200,KNN,ecfp1024,0.610,none,8,281,75,14
0.830,0.698,0.564,0.460,0.773,0.155,0.186,0.394,0.351,0.344,0.593,0.308,0.199,0.562,0.213,KNN,ecfp1024,0.470,none,9,281,75,14
0.765,0.600,0.560,0.387,0.747,0.169,0.243,0.411,0.345,0.426,0.587,0.211,0.177,0.321,0.356,SVC,ecfp1024,0.520,none,0,269,87,28
0.905,0.784,0.600,0.545,0.812,0.119,0.218,0.344,0.049,0.219,0.220,1.000,-0.124,1.000,0.031,SVC,ecfp1024,0.640,none,1,292,64,1
0.964,0.932,0.800,0.734,0.881,0.077,0.218,0.277,0.045,0.205,0.212,1.000,-0.065,1.000,0.075,SVC,ecfp1024,0.670,none,2,289,67,4
0.927,0.876,0.745,0.620,0.824,0.103,0.214,0.321,0.260,0.308,0.510,0.667,0.189,0.759,0.189,SVC,ecfp1024,0.250,none,3,282,74,13
0.910,0.869,0.837,0.759,0.894,0.093,0.282,0.306,0.289,0.283,0.538,0.667,0.232,0.917,0.076,SVC,ecfp1024,0.360,none,4,290,66,3
0.915,0.793,0.784,0.674,0.851,0.109,0.193,0.330,0.248,0.341,0.498,0.400,0.168,0.689,0.189,SVC,ecfp1024,0.370,none,5,282,74,11
0.881,0.771,0.744,0.612,0.825,0.106,0.224,0.326,,,,,,,0.000,SVC,ecfp1024,0.160,none,6,293,63,0
0.874,0.743,0.700,0.585,0.826,0.128,0.194,0.358,0.154,0.256,0.392,0.667,0.034,0.950,0.130,SVC,ecfp1024,0.370,none,7,287,69,6
0.915,0.824,0.873,0.802,0.907,0.086,0.244,0.294,0.209,0.170,0.458,0.846,0.164,0.729,0.200,SVC,ecfp1024,0.320,none,8,281,75,14
0.879,0.800,0.746,0.606,0.800,0.136,0.179,0.369,0.269,0.362,0.519,0.696,0.150,0.737,0.213,SVC,ecfp1024,0.260,none,9,281,75,14
0.794,0.714,0.526,0.492,0.793,0.172,0.190,0.414,0.235,0.182,0.485,0.000,0.070,0.392,0.356,RF,ecfp1024,0.530,none,0,269,87,28
0.926,0.889,0.800,0.741,0.891,0.146,0.178,0.382,0.006,0.078,0.078,1.000,-0.304,1.000,0.031,RF,ecfp1024,0.470,none,1,292,64,1
0.927,0.859,0.611,0.520,0.791,0.151,0.192,0.388,0.262,0.512,0.512,0.000,0.124,1.000,0.075,RF,ecfp1024,0.500,none,2,289,67,4
0.882,0.815,0.744,0.643,0.851,0.145,0.151,0.381,0.240,0.225,0.490,0.400,0.108,0.759,0.189,RF,ecfp1024,0.470,none,3,282,74,13
0.920,0.853,0.667,0.606,0.833,0.152,0.176,0.390,0.238,0.045,0.487,0.667,0.097,0.756,0.076,RF,ecfp1024,0.520,none,4,290,66,3
0.878,0.838,0.712,0.558,0.770,0.161,0.186,0.401,0.243,0.286,0.493,0.462,0.092,0.700,0.189,RF,ecfp1024,0.430,none,5,282,74,11
0.842,0.790,0.700,0.562,0.810,0.156,0.197,0.395,,,,,,,0.000,RF,ecfp1024,0.470,none,6,293,63,0
0.879,0.830,0.655,0.466,0.725,0.155,0.230,0.394,0.161,0.099,0.402,0.750,0.008,0.887,0.130,RF,ecfp1024,0.430,none,7,287,69,6
0.950,0.908,0.765,0.646,0.787,0.156,0.249,0.395,0.268,0.258,0.517,0.846,0.123,0.740,0.200,RF,ecfp1024,0.390,none,8,281,75,14
0.819,0.724,0.571,0.364,0.720,0.172,0.167,0.414,0.283,0.266,0.532,0.526,0.118,0.656,0.213,RF,ecfp1024,0.430,none,9,281,75,14
0.792,0.717,0.550,0.485,0.793,0.163,0.143,0.404,0.227,0.208,0.477,0.182,0.073,0.434,0.356,ExtraTrees,ecfp1024,0.490,none,0,269,87,28
0.923,0.884,0.645,0.586,0.828,0.140,0.182,0.374,0.003,0.053,0.054,1.000,-0.320,1.000,0.031,ExtraTrees,ecfp1024,0.470,none,1,292,64,1
0.963,0.930,0.829,0.767,0.896,0.139,0.213,0.373,0.238,0.488,0.488,1.000,0.115,1.000,0.075,ExtraTrees,ecfp1024,0.490,none,2,289,67,4
0.899,0.825,0.683,0.572,0.824,0.138,0.132,0.371,0.243,0.279,0.492,0.400,0.121,0.711,0.189,ExtraTrees,ecfp1024,0.460,none,3,282,74,13
0.932,0.891,0.667,0.606,0.833,0.141,0.159,0.376,0.232,0.359,0.482,0.667,0.105,0.917,0.076,ExtraTrees,ecfp1024,0.530,none,4,290,66,3
0.882,0.835,0.710,0.559,0.757,0.150,0.171,0.388,0.244,0.343,0.494,0.462,0.106,0.613,0.189,ExtraTrees,ecfp1024,0.400,none,5,282,74,11
0.838,0.795,0.588,0.471,0.778,0.149,0.125,0.387,,,,,,,0.000,ExtraTrees,ecfp1024,0.460,none,6,293,63,0
0.873,0.830,0.679,0.508,0.739,0.145,0.185,0.381,0.153,0.253,0.392,0.889,0.010,0.950,0.130,ExtraTrees,ecfp1024,0.400,none,7,287,69,6
0.961,0.942,0.769,0.644,0.800,0.144,0.225,0.379,0.247,0.309,0.497,0.846,0.118,0.895,0.200,ExtraTrees,ecfp1024,0.390,none,8,281,75,14
0.813,0.721,0.560,0.340,0.707,0.167,0.191,0.409,0.295,0.313,0.543,0.444,0.134,0.652,0.213,ExtraTrees,ecfp1024,0.390,none,9,281,75,14
0.794,0.721,0.541,0.537,0.805,0.157,0.213,0.396,0.288,0.367,0.536,0.182,0.141,0.410,0.356,GB,ecfp1024,0.790,none,0,269,87,28
0.919,0.872,0.765,0.703,0.875,0.104,0.211,0.322,0.007,0.069,0.086,1.000,-0.236,1.000,0.031,GB,ecfp1024,0.540,none,1,292,64,1
0.983,0.970,0.884,0.834,0.925,0.059,0.207,0.242,0.004,0.073,0.062,1.000,-0.180,1.000,0.075,GB,ecfp1024,0.550,none,2,289,67,4
0.913,0.827,0.696,0.558,0.811,0.115,0.239,0.340,0.348,0.416,0.590,0.545,0.250,0.759,0.189,GB,ecfp1024,0.250,none,3,282,74,13
0.925,0.880,0.667,0.606,0.833,0.100,0.187,0.317,0.310,0.280,0.557,0.667,0.240,0.917,0.076,GB,ecfp1024,0.850,none,4,290,66,3
0.913,0.852,0.810,0.751,0.892,0.105,0.243,0.325,0.291,0.469,0.540,0.500,0.215,0.680,0.189,GB,ecfp1024,0.700,none,5,282,74,11
0.939,0.898,0.766,0.638,0.825,0.099,0.270,0.314,,,,,,,0.000,GB,ecfp1024,0.120,none,6,293,63,0
0.906,0.837,0.723,0.584,0.812,0.119,0.278,0.346,0.138,0.261,0.371,0.667,0.026,0.917,0.130,GB,ecfp1024,0.310,none,7,287,69,6
0.965,0.945,0.873,0.802,0.907,0.069,0.108,0.262,0.181,0.239,0.425,0.846,0.163,0.896,0.200,GB,ecfp1024,0.450,none,8,281,75,14
0.871,0.764,0.697,0.530,0.733,0.144,0.305,0.380,0.329,0.354,0.573,0.696,0.193,0.668,0.213,GB,ecfp1024,0.130,none,9,281,75,14
0.794,0.726,0.537,0.450,0.782,0.158,0.151,0.397,0.284,0.301,0.533,0.143,0.136,0.360,0.356,XGB,ecfp1024,0.730,none,0,269,87,28
0.930,0.897,0.788,0.749,0.891,0.094,0.249,0.306,0.006,0.073,0.079,1.000,-0.227,1.000,0.031,XGB,ecfp1024,0.580,none,1,292,64,1
0.982,0.968,0.909,0.867,0.940,0.063,0.186,0.252,0.020,0.133,0.141,1.000,-0.111,1.000,0.075,XGB,ecfp1024,0.570,none,2,289,67,4
0.892,0.818,0.800,0.713,0.878,0.109,0.266,0.331,0.349,0.398,0.591,0.545,0.261,0.785,0.189,XGB,ecfp1024,0.290,none,3,282,74,13
0.934,0.869,0.667,0.606,0.833,0.086,0.240,0.293,0.292,0.400,0.540,0.667,0.247,0.806,0.076,XGB,ecfp1024,0.860,none,4,290,66,3
0.908,0.862,0.824,0.734,0.878,0.095,0.201,0.308,0.275,0.398,0.525,0.444,0.217,0.647,0.189,XGB,ecfp1024,0.330,none,5,282,74,11
0.895,0.882,0.780,0.675,0.857,0.105,0.229,0.324,,,,,,,0.000,XGB,ecfp1024,0.260,none,6,293,63,0
0.901,0.859,0.708,0.559,0.797,0.109,0.143,0.330,0.146,0.225,0.382,0.750,0.052,0.861,0.130,XGB,ecfp1024,0.390,none,7,287,69,6
0.963,0.939,0.893,0.835,0.920,0.068,0.128,0.260,0.187,0.151,0.433,0.846,0.173,0.879,0.200,XGB,ecfp1024,0.280,none,8,281,75,14
0.855,0.781,0.667,0.477,0.747,0.141,0.173,0.375,0.305,0.420,0.552,0.667,0.177,0.719,0.213,XGB,ecfp1024,0.200,none,9,281,75,14
0.744,0.642,0.565,0.427,0.770,0.194,0.372,0.440,0.359,0.470,0.599,0.222,0.159,0.357,0.356,CatBoost,ecfp1024,0.580,none,0,269,87,28
0.886,0.833,0.571,0.561,0.812,0.130,0.432,0.360,0.001,0.028,0.028,1.000,-0.332,1.000,0.031,CatBoost,ecfp1024,0.900,none,1,292,64,1
0.969,0.945,0.750,0.662,0.851,0.070,0.233,0.264,0.001,0.031,0.032,1.000,-0.232,1.000,0.075,CatBoost,ecfp1024,0.730,none,2,289,67,4
0.891,0.808,0.667,0.611,0.838,0.122,0.304,0.350,0.393,0.378,0.627,0.400,0.277,0.635,0.189,CatBoost,ecfp1024,0.940,none,3,282,74,13
0.878,0.837,0.625,0.567,0.818,0.123,0.380,0.350,0.377,0.388,0.614,0.667,0.264,0.756,0.076,CatBoost,ecfp1024,0.970,none,4,290,66,3
0.930,0.890,0.766,0.657,0.851,0.113,0.318,0.336,0.350,0.446,0.591,0.400,0.256,0.633,0.189,CatBoost,ecfp1024,0.430,none,5,282,74,11
0.854,0.853,0.757,0.670,0.857,0.118,0.263,0.344,,,,,,,0.000,CatBoost,ecfp1024,0.290,none,6,293,63,0
0.841,0.720,0.636,0.466,0.768,0.177,0.368,0.420,0.188,0.187,0.433,0.667,0.013,0.917,0.130,CatBoost,ecfp1024,0.360,none,7,287,69,6
0.940,0.852,0.847,0.765,0.880,0.086,0.278,0.293,0.231,0.248,0.480,0.846,0.188,0.770,0.200,CatBoost,ecfp1024,0.080,none,8,281,75,14
0.856,0.741,0.677,0.490,0.733,0.158,0.206,0.397,0.283,0.366,0.532,0.696,0.135,0.685,0.213,CatBoost,ecfp1024,0.060,none,9,281,75,14
0.799,0.722,0.550,0.485,0.793,0.167,0.153,0.408,0.230,0.213,0.480,0.167,0.071,0.401,0.356,BRF,ecfp1024,0.480,none,0,269,87,28
0.920,0.882,0.571,0.561,0.812,0.144,0.176,0.379,0.006,0.076,0.076,1.000,-0.303,1.000,0.031,BRF,ecfp1024,0.510,none,1,292,64,1
0.942,0.891,0.864,0.799,0.910,0.147,0.223,0.384,0.270,0.520,0.520,1.000,0.136,1.000,0.075,BRF,ecfp1024,0.470,none,2,289,67,4
0.893,0.825,0.739,0.621,0.838,0.141,0.183,0.375,0.238,0.205,0.488,0.545,0.113,0.759,0.189,BRF,ecfp1024,0.400,none,3,282,74,13
0.934,0.883,0.667,0.606,0.833,0.145,0.176,0.380,0.235,0.072,0.485,0.667,0.105,0.917,0.076,BRF,ecfp1024,0.550,none,4,290,66,3
0.884,0.848,0.647,0.454,0.676,0.155,0.202,0.393,0.236,0.159,0.486,0.462,0.093,0.739,0.189,BRF,ecfp1024,0.380,none,5,282,74,11
0.842,0.819,0.683,0.530,0.794,0.150,0.164,0.387,,,,,,,0.000,BRF,ecfp1024,0.430,none,6,293,63,0
0.887,0.846,0.679,0.508,0.739,0.146,0.177,0.382,0.157,0.217,0.396,0.889,0.014,0.950,0.130,BRF,ecfp1024,0.400,none,7,287,69,6
0.950,0.926,0.774,0.646,0.813,0.147,0.236,0.384,0.246,0.216,0.496,0.846,0.113,0.857,0.200,BRF,ecfp1024,0.400,none,8,281,75,14
0.810,0.722,0.655,0.456,0.733,0.169,0.176,0.411,0.284,0.296,0.533,0.696,0.122,0.651,0.213,BRF,ecfp1024,0.380,none,9,281,75,14
