fragment_smiles,ac_enrichment,n_cliff_pairs,cliff_pairs,cliff_pair_indices
[*]CC1=C(Cl)c2cc(C)c(C)cc2CCC1,0.0,0,,
[*]C1SC(=S)NC1=O,0.0,0,,
[*]C1SC(=S)N([*])C1=O,0.0,0,,
[*]C1SC(=O)N([*])C1=O,0.0,0,,
[*]N1CCSC1,0.0,0,,
[*]N1C[C@H]2CCCC[C@H]2C1,0.0,0,,
[*]NC,0.0,0,,
[*]NC(=S)NN1C(=O)CSC1[*],0.0,0,,
[*]N[*],0.0,0,,
[*]C(=O)NN1C(=O)CS[C@@H]1[*],0.0,0,,
[*]C(=O)NN1C(=O)CS[C@H]1[*],0.0,0,,
[*]C1C(=O)Nc2ccc(Br)cc21,0.0,0,,
[*]C1C(=O)Nc2ccccc21,0.0,0,,
[*]C1CCNC(=O)c2[nH]c3ccccc3c21,0.0,0,,
[*]C1CCNC(=O)c2[nH]ccc21,0.0,0,,
[*]C1CCNC(=O)c2c1c1ccccc1n2C,0.0,0,,
[*]C1CCNC(=O)c2c1ccn2C,0.0,0,,
[*]C1S/C(=N/CC[*])NC1=O,0.0,0,,
[*]C1S/C(=N/C[*])NC1=O,0.0,0,,
[*]C1S/C(=N\c2nc([*])cs2)N([*])C1=O,0.0,0,,
[*]C1SC(=O)N(C)C1=O,0.0,0,,
[*]c1cccc(F)c1,0.0,0,,
[*]c1cccc(O)c1,0.0,0,,
[*]c1cccc(C)c1,0.0,0,,
[*]C1CC1,0.0,0,,
[*]c1ccc2ccccc2n1,0.0,0,,
[*]c1ccccn1,0.0,0,,
[*]c1cccn1C,0.0,0,,
[*]c1ccco1,0.0,0,,
[*]c1cccs1,0.0,0,,
[*]c1cn2c([*])cnc2s1,0.0,0,,
[*]c1cn2ccc([*])cc2n1,0.0,0,,
[*]c1cnc(C)cn1,0.0,0,,
[*]c1cnccn1,0.0,0,,
[*]c1n[nH]c2ccc([*])cc12,0.0,0,,
[*]c1nc([*])c2ccccc2n1,0.0,0,,
[*]c1nc2c3ccccc3c3ccccc3c2[nH]1,0.0,0,,
[*]c1nc2cc([*])ccc2[nH]1,0.0,0,,
[*]c1ncc[nH]1,0.0,0,,
[*]c1ncccn1,0.0,0,,
[*]c1nccnc1N,0.0,0,,
[*]c1nccs1,0.0,0,,
[*]c1ncn[nH]1,0.0,0,,
[*]c1cccc(Br)c1,0.0,0,,
[*]c1ccc([N+](=O)[O-])s1,0.0,0,,
[*]c1[nH]c2ccc(Cl)cc2c1[*],0.0,0,,
[*]c1[nH]c2ccc(C)cc2c1[*],0.0,0,,
[*]N1C(=O)C([*])S/C1=N\c1ccc(C)cc1,0.0,0,,
[*]C(=O)NN1C(=O)C(C)SC1[*],0.0,0,,
[*]C(=O)NN1C(=O)CSC1[*],0.0,0,,
[*]N1C(=O)C(C)SC1[*],0.0,0,,
[*]N1C(=O)C([*])S/C1=N/C1CCCCC1,0.0,0,,
[*]N1C(=O)C([*])S/C1=N/CC,0.0,0,,
[*]N1C(=O)C([*])S/C1=N/c1cc(C)ccc1Cl,0.0,0,,
[*]N1C(=O)C([*])S/C1=N/c1ccc(F)c(Cl)c1,0.0,0,,
[*]N1C(=O)C([*])S/C1=N/c1ccccc1,0.0,0,,
[*]N1C(=O)C([*])S/C1=N\c1ccc(I)cc1,0.0,0,,
[*]C1SC(=O)NC1=O,0.0,0,,
[*]N1C(=O)C([*])S/C1=N\c1ccc([*])cc1,0.0,0,,
[*]N1C(=O)C([*])S/C1=N\c1ccccc1,0.0,0,,
[*]N1C(=O)CS/C1=N\c1nc([*])cs1,0.0,0,,
[*]N1C(=O)CSC1=O,0.0,0,,
[*]N1C(=O)CSC1[*],0.0,0,,
[*]SC,0.0,0,,
[*]S(=O)(=O)c1cccs1,0.0,0,,
[*]C1(O)CSC(=S)N1C,0.0,0,,
[*]C1C2CSCN2C2(C(=O)Nc3ccc(C)cc32)C1([*])C#N,0.0,0,,
[*]c1nnc([*])s1,0.0,0,,
[*]C1CCC(Br)CC1,0.0,0,,
[*]c1cc([*])c(O)c([*])c1,0.0,0,,
[*]c1cc([*])cc([*])c1,0.0,0,,
[*]c1cc2c(c([*])c1[*])OCO2,0.0,0,,
[*]c1cc2nccc([*])c2cc1[*],0.0,0,,
[*]C1CCC(C)CC1,0.0,0,,
[*]c1ccc(F)c(F)c1,0.0,0,,
[*]c1ccc(F)c(F)c1F,0.0,0,,
[*]c1ccc(F)cc1F,0.0,0,,
[*]c1ccc(O)c([*])c1,0.0,0,,
[*]c1ccc([*])c2ccccc12,0.0,0,,
[*]c1ccc([N+](=O)[O-])cc1,0.0,0,,
[*]c1ccc2[nH]cc([*])c2c1,0.0,0,,
[*]c1ccc2c(c1)OCO2,0.0,0,,
[*]c1ccc2c(c1)c([*])cn2C,0.0,0,,
[*]c1ccc2ccccc2c1,0.0,0,,
[*]c1ccc2oc(=O)c([*])cc2c1,0.0,0,,
[*]c1cc([*])c([*])c([*])c1,0.0,0,,
[*]n1nc([*])cc1/N=C1/NC(=O)CS1,0.0,0,,
[*]c1cc([*])c(Cl)cc1[*],0.0,0,,
[*]c1cc(F)cc(F)c1,0.0,0,,
[*]c1cc(F)c([*])c(F)c1,0.0,0,,
[*]c1cc(Cl)ccc1O,0.0,0,,
[*]C1CCC(Cl)CC1,0.0,0,,
[*]C1CCC(Cl)CC1Cl,0.0,0,,
[*]C1CCC(F)CC1,0.0,0,,
[*]c1c[nH]c2ccccc12,0.0,0,,
[*]c1c(F)cccc1F,0.0,0,,
[*]C1CCCCC1,0.0,0,,
[*]C1CCC([*])CC1,0.0,0,,
[*]C1CCC([N+](=O)[O-])CC1,0.0,0,,
[*]c1ccc([*])c(Cl)c1,-5.065781901380346,1,COc1cc2c(Oc3ccc(C4SCC(=O)N4NC(=O)Nc4ccc(F)cc4F)cc3Cl)ccnc2cc1OCCCN1CCOCC1|COc1cc2c(Oc3ccc(C4SCC(=O)N4NC(=O)Nc4ccc(F)cc4F)cc3F)ccnc2cc1OCCCN1CCN(C)CC1,6
[*]N(C)C,-5.279120451975019,1,COc1ccc(/C=C2\S/C(=N\c3nc(-c4c(C)n(C)n(-c5ccccc5)c4=O)cs3)N(c3ccccc3)C2=O)cc1|Cc1c(-c2csc(/N=C3\S/C(=C\c4ccc(N(C)C)cc4)C(=O)N3c3ccccc3)n2)c(=O)n(-c2ccccc2)n1C,8
[*]n1c([*])nc2ccc(Cl)cc21,-5.347143465731497,1,O=C(O)CN1C(=O)/C(=C/c2nc3ccc(Cl)cc3n2Cc2ccccc2F)SC1=S|O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2Cc2ccccc2F)SC1=S,44
[*]c1ccc(Br)cc1F,-5.385626950123777,1,O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2Cc2ccc(Br)cc2F)SC1=S|O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2Cc2ccccc2F)SC1=S,46
[*]c1ccc([*])c([*])c1,-6.4397138606791176,1,COc1cc(OC)c(-c2nc3cc(/C=C4\SC(=O)N(CC(=O)N5CCOCC5)C4=O)ccc3[nH]2)cc1OC|COc1ccc(-c2nc3cc(/C=C4\SC(=O)N(CC(=O)N5CCOCC5)C4=O)ccc3[nH]2)cc1OC,3
[*]C(C)(C)C,-6.615883480979756,1,CC(C)(C)c1ccc(C/N=C2\NC(=O)/C(=C3\CCNC(=O)c4[nH]c5ccccc5c43)S2)cc1|Cc1ccc(C/N=C2\NC(=O)/C(=C3\CCNC(=O)c4[nH]c5ccccc5c43)S2)cc1,0
[*]n1c([*])nc2cc(F)ccc21,-6.741664132010792,1,O=C(O)CN1C(=O)/C(=C/c2nc3cc(F)ccc3n2Cc2ccccc2F)SC1=S|O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2Cc2ccccc2F)SC1=S,43
[*]n1c([*])nc2ccc(F)cc21,-7.889195293412134,1,O=C(O)CN1C(=O)/C(=C/c2nc3ccc(F)cc3n2Cc2ccccc2F)SC1=S|O=C(O)CN1C(=O)/C(=C/c2nc3ccccc3n2Cc2ccccc2F)SC1=S,45
[*]c1ccncc1,-9.37170649651665,1,O=C(Cc1ccc(-c2ccccc2)cc1)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12|O=C(Cc1ccc(-c2ccncc2)cc1)Nc1n[nH]c2ccc(N3CCCS3(=O)=O)cc12,38
[*]N1CCCCC1,-9.526883232650103,1,COc1cc(OC)c(-c2nc3cc(/C=C4\SC(=O)N(CC(=O)N5CCCCC5)C4=O)ccc3[nH]2)cc1OC|COc1cc(OC)c(-c2nc3cc(/C=C4\SC(=O)N(CC(=O)N5CCOCC5)C4=O)ccc3[nH]2)cc1OC,2
[*]C(=O)O,-12.673836218071449,1,COC(=O)c1cccc(C2SCC(=O)N2c2ccccc2OC)c1|COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)O)c1,1
[*]c1ccc(F)cc1,-12.981580415169978,4,COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCCc2ccccc2)c1|COc1ccccc1N1C(=O)CSC1c1cccc(C(=O)NCCc2ccc(F)cc2)c1; Cc1ccc(C/N=C2\NC(=O)/C(=C3\CCNC(=O)c4[nH]c5ccccc5c43)S2)cc1|O=C1N/C(=N\Cc2ccc(F)cc2)S/C1=C1/CCNC(=O)c2[nH]c3ccccc3c21; N#Cc1ccc(Cn2c3ccccc3c3cc(/C=C4\SC(=S)N(CC(=O)O)C4=O)ccc32)cc1|O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(F)cc2)SC1=S; O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(C(F)(F)F)cc2)SC1=S|O=C(O)CN1C(=O)/C(=C/c2ccc3c(c2)c2ccccc2n3Cc2ccc(F)cc2)SC1=S,17; 28; 34; 42
