feature,importance_mean,importance_std
FP::ECFP1024_0073,0.011234567901234593,0.013851939877803972
FP::ECFP1024_0831,0.010308641975308674,0.005771192300559348
FP::ECFP1024_0809,0.00598765432098769,0.0014357658456312142
FP::ECFP1024_0721,0.005123456790123504,0.004150517400991155
FP::ECFP1024_0568,0.003580246913580254,0.0019284567101004039
FP::ECFP1024_0523,0.0025925925925926463,0.002205008777715046
FP::ECFP1024_0357,0.0020370370370370815,0.000875151041898651
FP::ECFP1024_0519,0.0019753086419753594,0.0015069821747819164
FP::ECFP1024_0378,0.001481481481481539,0.003026580412871883
FP::ECFP1024_0325,0.0012345679012344623,0.0002760577749999703
FP::ECFP1024_0175,0.0011111111111111627,0.0014021995915556246
FP::ECFP1024_0322,0.0010493827160493407,0.0004821141775250636
FP::ECFP1024_0119,0.000987654320987752,0.0013006979941793434
FP::ECFP1024_0878,0.000987654320987652,0.0008373246892747246
FP::ECFP1024_0162,0.0009259259259259967,0.000632527825059207
FP::ECFP1024_0464,0.0009259259259259744,0.0033155676548137793
FP::ECFP1024_0538,0.0008641975308642524,0.0022119102305146717
FP::ECFP1024_0033,0.0008641975308642414,0.0014659681588935968
FP::ECFP1024_0273,0.0008024691358024972,0.002029541015157281
FP::ECFP1024_0715,0.0007407407407408195,0.0015567308904837671
FP::ECFP1024_0535,0.000679012345679042,0.002780519908532141
FP::ECFP1024_0879,0.0006790123456790087,0.0008024691358024238
FP::ECFP1024_0830,0.0006172839506173089,4.440892627896187e-17
FP::ECFP1024_0180,0.0006172839506172978,0.004204786757018848
FP::ECFP1024_1020,0.0006172839506172866,0.0009562921842487392
FP::ECFP1024_0904,0.0006172839506172756,0.0003904046494034808
FP::ECFP1024_1019,0.0005555555555556202,0.0034418770023334727
FP::ECFP1024_0202,0.0005555555555555869,0.00018518518518519567
FP::ECFP1024_0646,0.0005555555555555758,0.0004320987654320969
FP::ECFP1024_0699,0.0005555555555555536,0.0011196516757541548
